Month_dt,volume,avg_daily_volume,value,avg_daily_value,avg_transaction_value
2021-06-01,2807.52,93.5839,547373.16,18245.772,194.96678919473416
2021-07-01,3247.82,104.7682,605883.2,19544.6194,186.5507324913326
2021-08-01,3555.55,114.695,639116.95,20616.6758,179.75192304987974
2021-09-01,3654.3,121.8099,654648.28,21821.6093,179.14464603344007
2021-10-01,4218.64,136.0853,771406.99,24884.0965,182.85679508087912
2021-11-01,4186.48,139.5493,768436.09,25614.5363,183.55183590988133
2021-12-01,4566.3,147.3,826848.23,26672.5235,181.07619516895517
2022-01-01,4617.16,148.9405,831993.09,26838.4868,180.19585416143258
2022-02-01,4527.49,161.696,826843.02,29530.1079,182.6272437929184
2022-03-01,5405.65,174.3758,960581.67,30986.5055,177.699568044546
2022-06-01,5862.75,195.425,1014412.63,33813.7543,173.02675877361307
2022-07-01,6288.4,202.8516,1063117.04,34294.0981,169.06002162712298
2022-08-01,6579.63,212.2461,1073162.17,34618.1345,163.10372619736975
2022-09-01,6780.8,226.0267,1116438.09,37214.603,164.64695758612555
2022-10-01,7305.42,235.6587,1211587.5,39083.4677,165.8477541332326
2022-11-01,7309.46,243.6485,1190593.39,39686.4465,162.883905240606
2022-12-01,7829.49,252.5642,1281970.86,41353.8987,163.73618971350626
2023-01-01,8036.89,259.2544,1299058.78,41905.1219,161.63699888887368
2023-02-01,7534.76,269.0985,1235846.58,44137.3779,164.01936889827945
2023-03-01,8685.3,280.1709,1404950.59,45320.9869,161.7618953864576
2023-06-01,9335.06,311.1688,1475464.26,49182.142,158.05621602860614
2023-07-01,9964.26,321.4276,1533536.44,49468.9174,153.90369580882071
2023-08-01,10586.02,341.4844,1576536.54,50856.0174,148.92627635315256
2023-09-01,10555.69,351.8562,1579133.18,52637.7727,149.60018530290296
2023-10-01,11408.79,368.0255,1715768.34,55347.3658,150.39003610374107
2023-11-01,11235.29,374.5097,1739740.61,57991.3537,154.84607962945327
2023-12-01,12020.23,387.7492,1822949.45,58804.821,151.65678610143067
2024-01-01,12203.02,393.6457,1841083.97,59389.8055,150.87117533200797
2024-02-01,12102.67,417.3336,1827869.35,63029.9776,151.0302561335639
2024-03-01,13440.0,433.5485,1978353.23,63817.8461,147.19890104166666
2024-06-01,13885.14,462.8381,2007081.2,66902.7067,144.54886302910882
2024-07-01,14435.55,465.663,2064292.41,66590.0777,143.0006068352089
2024-08-01,14963.05,482.6789,2060735.57,66475.341,137.72162560440552
2024-09-01,15041.75,501.3916,2063994.71,68799.8237,137.21772466634533
2024-10-01,16584.97,534.9989,2349821.46,75800.6923,141.683793217594
2024-11-01,15482.02,516.0674,2155187.41,71839.5803,139.20582779249736
2024-12-01,16730.01,539.6777,2324699.94,74990.3206,138.95388825230827
2025-01-01,16996.01,548.2583,2348037.11,75743.1326,138.1522551469433
2025-02-01,16106.19,575.2212,2196481.7,78445.775,136.3750024059073
2025-03-01,18301.51,590.3712,2477221.59,79910.3739,135.35613127004274
2025-06-01,18395.01,613.1669,2403930.69,80131.023,130.6838479565926
2025-07-01,19467.95,627.9983,2508498.1,80919.2935,128.85270919639714
2025-08-01,20008.31,645.4294,2485472.9,80176.5452,124.22203074622493
2025-09-01,19633.43,654.4478,2489736.52,82991.2173,126.81108293354752
2025-10-01,20700.92,667.7716,2727790.71,87993.2487,131.77147247561945
2025-11-01,20466.98,682.2326,2631632.64,87721.088,128.57943086864796
2025-12-01,21634.67,697.8925,2796712.71,90216.539,129.26995003852613
2026-01-01,21703.46,700.1116,2833481.26,91402.6213,130.55435677076375
2026-02-01,20394.2,728.3643,2684229.3,95865.3321,131.6172882486197
2026-03-01,22641.14,730.3594,2952542.03,95243.2913,130.40606745066722
